feature_id,feature_name,category,route,user_type,business_value,status,frontend_files,component_files,service_files,edge_functions,database_tables,auth_required,plan_or_tier_gate,credit_metering_status,ai_route_or_provider,admin_control_surface,monetization_path,screenshot_needed,marketing_priority_1_to_5,revenue_priority_1_to_5,fix_priority_1_to_5,strategic_value_1_to_5,risk_level,evidence_notes
F011,Z-Engine motion compositions,creation,/z-engine?tab=roam,creator,"Generates deterministic motion/visual artifacts with preview, ZIP, Vault save, and WebM where supported.",powerful_hidden,pages/ZEngineLab.tsx,components/zengine/ZEngineStudio.tsx,services/zEngineStream.ts; services/workspaceFiles.ts,z-engine-stream; ai-route,z_engine_projects; workspace_files,yes,Credit/tier based,Yes via z-engine-stream,OpenAI admin pool primary; Cloudflare fallback,ZEngineModelAdminPanel,Premium creative/proposal assets,yes,4,4,2,4,low,AiSystemsMap marks motion compositions ready with browser-native preview and no render farm.
F012,Instruction Lab and Tune,ai_workflow,/instruction-lab,builder,"Prompt refinement, model comparison, prompt packs, and reusable instruction assets.",powerful_hidden,pages/InstructionLabPage.tsx,components/instructions; components/MagicEnhancer.tsx,services/tune.ts; services/promptPacks.ts; services/projectVaultCredits.ts,tune-assist; instruction-preview; instruction-stream; prompt-pack-enhance; prompt-pack-install,prompt_packs; prompt_pack_installs; tune_admin_config; tune_usage_logs,yes,Tune admin caps by plan,Tune logs usage/credits; verify product-wide consistency,Tune route; Cloudflare Kimi default and optional Cerebras/Open-compatible,TuneAdminPanel,"Prompt packs, creator assets, credits",yes,4,4,2,5,medium,"TuneAdminPanel controls tasks, models, providers, endpoints, and daily caps."
F013,"Files, Workspace, Vault, and proof layer",workspace,/files; /workspace; /knowledge; /vault,builder and operator,"Memory/proof layer for uploaded files, generated outputs, replays, proposals, reports, and knowledge.",marketable_now,pages/FilesPage.tsx,components/project-vault; components/business-spaces/flex/BusinessSpaceFlex.tsx,services/workspaceFiles.ts; services/vaultArtifacts.ts; services/vaultProofLayer.ts; services/workspaceGateway.ts,workspace-fs; fetch-knowledge-url,workspace_files; workspace_file_versions; knowledge_sources; vault_remote_jobs,yes,Tier file limits in stripeConfig; server enforcement should be reviewed,Indirect,Supports AI outputs,System health/audit indirectly,"Storage limits, exports, client proof",yes,4,4,2,5,medium,Multiple routes alias to FilesPage; workspace-fs is server-side tool endpoint.
F014,Knowledge retrieval and grounding,knowledge,/knowledge and agent knowledge panels,builder,"Grounds agents and business systems with files, URLs, and reusable context.",partial,pages/FilesPage.tsx; pages/AgentDetailPage.tsx,components/project-vault; components/agents,services/knowledgeRetrieval.ts; services/assistantKnowledge.ts; services/uploads.ts,fetch-knowledge-url; web-search,knowledge_sources; workspace_files,yes,File count limits,Unknown for embeddings/retrieval,Unknown embedding provider,AI Systems Map marks unknown,Higher-tier knowledge limits and business proof,yes,4,4,4,5,medium,AiSystemsMap marks knowledge retrieval/embeddings provider and model unknown.
F015,Skills registry,skills,/skills,builder,"Reusable capabilities that attach to agents, workflows, and future marketplace products.",partial,pages/SkillsPage.tsx,components/skills,services/skills.ts; services/skillImport.ts; services/skillTemplates.ts,ai-route,skills; agent_skills,yes,Not clearly monetized yet,Depends on attached runtime,Depends on skill,AI Systems Map skill source summary,Paid skills marketplace and agent add-ons,yes,3,4,3,5,medium,Skill mesh includes imported/native source and review/risk metadata.
F016,"Automation, flows, schedules, and baskets",automation,/automation; /flows; /schedules; /baskets,operator,"Repeatable execution layer for triggers, tools, scheduled channel actions, replays, and containers.",partial,pages/AutomationPage.tsx; pages/FlowsPage.tsx; pages/SchedulesPage.tsx; pages/BasketsPage.tsx,components/flows,services/flows.ts; services/flowValidator.ts; services/schedules.ts; services/scheduledChannelActions.ts,flow-executor; flow-tool-execute; schedule-tick; reminder-tick,flows; flow_runs; flow_schedules; baskets; basket_items,yes,Paid automation likely needed; exact enforcement mixed,Partial through ai-route/flow-executor,flow-executor and ai-route for LLM steps,AdminOperatorsPanel and flags,"Automation credits, schedules, integrations",yes,4,5,4,5,high,schedule-tick invokes flow-executor; execution monetization/entitlement needs deeper audit.
F017,"Arsenals, Fleet Architect, and product bundles",arsenals,/arsenals; /arsenals/architect; /a/:slug,creator and buyer,"Bundles agents, skills, knowledge, workflows, experiences, pages, and products into distributable assets.",needs_polish,pages/ArsenalsPage.tsx; pages/ArsenalEditorPage.tsx; pages/FleetArchitectPage.tsx; pages/ArsenalPublicPage.tsx,components/arsenal,services/arsenalTemplates.ts; services/fleetArchitect.ts; services/arsenalPaidAccess.ts,ai-route; create-arsenal-access-checkout; confirm-arsenal-access,arsenals; arsenal_pages; arsenal_products; arsenal_access_grants,yes,Paid access and launch gates exist,ai-route for generation; checkout for access,ai-route for copy/page generation,Admin pages and paid launch flags,"Paid Arsenals, creator bundles, marketplace commission",yes,5,5,3,5,medium,Paid Arsenal checkout/confirmation and access grants exist.
F018,"Marketplace, Discover, and community",marketplace,/marketplace; /discover; /community,creator and buyer,"Distribution loop for agents, arsenals, prompt packs, skills, templates, and social proof.",needs_polish,pages/MarketplacePage.tsx; pages/DiscoverPage.tsx; pages/CommunityPage.tsx,components/discover,services/discover.ts; services/store.ts; services/promptPacks.ts,agent-community-post; prompt-pack-install; prompt-pack-enhance,community_posts; community_categories; discover_likes; prompt_packs; prompt_pack_installs,yes,Paid listing rules unclear,Partial through ai-route for chat/generation,ai-route for quick/community chat,Admin community agents/posts,"Paid listings, creator commission, prompt-pack sales",yes,5,5,4,5,medium,"Marketplace pieces exist, but paid listing and payout journey need productization."
F019,Experiences generator and entitlements,experiences,/experiences; /experiences/:id,creator and buyer,Productized interactive tools or guided journeys with entitlement potential.,partial,pages/ExperiencesPage.tsx; pages/ExperienceEditorPage.tsx,components/admin/AdminExperiencesPanel.tsx,services/experiences.ts; services/experienceEntitlements.ts; services/experienceUsageStore.ts,experience-generate; experience-entitlement,experience_usage_events; experience_usage_monthly,yes,Entitlement function exists,Usage tables exist; credit tie-in unclear,Dedicated OpenAI route,AdminExperiencesPanel,Paid experiences and usage limits,yes,4,4,4,4,medium,AdminExperiencesPanel controls OpenAI model/temperature for experience-generate.
F020,"Pricing, subscriptions, credits, and top-ups",monetization,/pricing; profile billing,buyer,"Direct revenue spine for Plus, Pro, Premium, credit packs, portal management, and Stripe webhooks.",marketable_now,pages/PricingPage.tsx; pages/ProfilePage.tsx,components/UpgradeModal.tsx; components/admin/AdminCreditsPanel.tsx,services/stripeConfig.ts; services/arsenalCredits.ts; services/platformCreditRules.ts,create-checkout; customer-portal; check-subscription; create-credit-topup-checkout; stripe-webhook,credit_accounts; credit_ledger; credit_settings; credit_topup_packs; subscribers,yes,Plus/Pro/Premium and free limits,Yes: ledger and top-up packs,Supports AI usage,AdminCreditsPanel and RevenueReadinessPanel,"Subscriptions, top-ups, usage metering",yes,5,5,2,5,medium,"RevenueReadinessPanel marks subscription, portal, credit top-up, settings, and webhook paths ready."
F021,"Referral rewards, partners, and creator payouts",monetization,/partners; /partners/dashboard; /revenue; /admin/partners,partner and creator,"Acquisition/payout loop for referrals, commissions, Stripe Connect, partner applications, and creator earnings.",marketable_now,pages/PartnersPage.tsx; pages/PartnerDashboardPage.tsx; pages/RevenuePage.tsx; pages/AdminPartnersPage.tsx,components/admin/AdminReferralRewardsPanel.tsx; components/arsenal/MonetizePanel.tsx,services/referralRewards.ts; services/arsenalPaidAccess.ts,create-connect-account; stripe-webhook,partner_profiles; partner_referrals; partner_commissions; referral_program_settings,yes,Partner approval/admin controls,n/a,n/a,AdminReferralRewardsPanel,"Affiliate revenue, creator payouts, marketplace commission",yes,4,5,2,4,medium,AdminReferralRewardsPanel tracks commission statuses and settings; Connect onboarding is used by revenue/profile surfaces.
F022,Admin dashboard and control plane,admin,/admin; /admin/keys; /admin/partners; /admin/pages,admin,"Business governance layer for users, billing, credits, providers, models, flags, marketplace, usage, audit, and communications.",marketable_now,pages/AdminDashboard.tsx; pages/AdminPagesPage.tsx; pages/AdminPartnersPage.tsx,components/admin,services/adminAudit.ts; services/accessControl.ts; services/adminPages.ts,admin-users; verify-provider-key; create-connect-account; ai-route,platform_admins; admin_api_keys; platform_feature_flags; admin_audit_log; admin_app_pages,yes,Admin roles: security master/internal/support/billing,Read/control surface,Controls ai-route/provider keys/models,Self,Operational leverage and reliable paid AI,yes,4,5,2,5,high,"AdminDashboard tabs include users, keys, providers, Z-Engine, tier defaults, limits, usage, audit, credits, operators, partners, pages."
F023,AI Route control plane,ai_control,supabase/functions/ai-route,platform,"Canonical server-side AI policy path for provider keys, model routing, credits, usage, fallbacks, and admin test routing.",marketable_now,pages/AdminDashboard.tsx,components/admin/AiSystemsMap.tsx; components/admin/ModelRoutingPanel.tsx,services/aiRouteClient.ts; services/apiRouter.ts; services/modelCatalog.ts,ai-route,admin_api_keys; tier_key_defaults; model_key_routes; ai_route_events; credit_ledger; usage_limit_configs,yes,Free daily caps and route-level plan gates,Yes,ai-route,"AI Systems Map, API Keys, Model Routing, Tier Defaults, Limits",Credit-safe AI usage and provider margin,yes,5,5,3,5,high,"ai-route checks admins, feature flags, tier gates, daily limits, admin keys, fallbacks, credits, and events."
F024,Media generation and Arsenal Senses,ai_media,ai-route media keys; media-analyze,creator and business,"Image/video generation plus perception routes for captions, transcription, object detection, summarization, and realtime rooms.",marketable_now,components/BrandKitGenerator.tsx; components/ChatInterface.tsx,components/admin/AiSystemsMap.tsx,services/ai.ts; services/mediaAnalysis.ts; services/cloudflareVideoModels.ts; services/realtimeRooms.ts,ai-route; media-analyze; realtime-room; openai-image-probe,ai_route_events; credit_ledger; platform_feature_flags,yes,Image credits; video Pro/Premium/admin; realtime Premium/Business/admin,Yes for ai-route media,Cloudflare Workers AI / Runway through ai-route,AI Systems Map and media generation config,Media credits and Pro/Premium gates,yes,4,5,2,4,medium,AiSystemsMap says image.generate charges 1 credit and video.generate is Pro/Premium/admin with 8s cap.
F025,Business integrations and connections center,integrations,/integrations; /business-spaces/:id/connections,business operator,Maps OAuth/provider/channel/business app connections into automation and deployment readiness.,partial,pages/IntegrationsPage.tsx,components/business-spaces/BusinessSpaceConnections.tsx,services/businessConnectionsCenter.ts; services/notionConnector.ts; services/linkedinConnector.ts,notion-oauth; linkedin-oauth; linkedin-publish; verify-provider-key,user_oauth_connections; linkedin_autopost_posts; agent_channels,yes,Advanced connectors should be paid,n/a except AI providers,AI provider pool feeds ai-route,ProvidersStudio and API Keys,"Advanced connectors, agency setup, enterprise",yes,4,4,4,5,medium,businessConnectionsCenter enumerates AI providers and connector statuses.
F026,"Programs, credentials, and Accelerate",education_and_growth,/ecosystem; /programs/:id; /accelerate; /verify/:verificationSlug,learner and customer,"Education, credentialing, badges, program access, completion artifacts, and acquisition pathways.",needs_polish,pages/EcosystemHub.tsx; pages/ProgramPage.tsx; pages/AcceleratePage.tsx; pages/CredentialVerifyPage.tsx,components/business-spaces/BusinessSpaceAccelerate.tsx,services/programBridge.ts; services/programCompletion.ts; services/programCredentials.ts; services/accelerateOrchestrator.ts,program-access; program-completion; program-credentials; verify-accelerate-badge; accelerate-fetch; harness-route,program_enrollments; program_credentials; program_artifacts; program_progress_events,yes,Program access function and discounts,Indirect,harness-route and provider generation,Program revenue/credentials/artifacts tabs,"Paid programs, credentials, services",yes,4,4,3,4,medium,"Routes include ecosystem/programs/verify/accelerate; admin tabs include program revenue, credentials, artifacts."
F027,Zen Daily publishing engine,content,admin Zen Daily,admin and public audience,"Editorial/publication surface for daily briefings, content feeds, announcements, and traffic acquisition.",partial,pages/AdminDashboard.tsx,components/admin/ZenDailyStudio.tsx,services/zenDaily.ts; services/webintel.ts,zen-daily-agent; zen-daily-og-fetch; zen-daily-today-autogen,zen_daily_agent_config; zen_daily_issues; zen_daily_sections; zen_daily_tabs,mixed,Admin authoring,Needs verification,zen-daily-agent and route keys,ZenDailyStudio,"Content acquisition, authority, social reuse",yes,3,3,3,4,medium,"ZenDailyStudio defines schedules, section types, and model options."
F028,Admin pages and client studio,public_pages,/page/:slug; /:slug; /admin/pages; /client-studio,admin and public visitor,No-code public/client page builder with AI-generated copy/assets and managed public pages.,marketable_now,pages/AdminManagedPage.tsx; pages/AdminPagesPage.tsx; pages/ClientStudioPage.tsx,components/admin/AdminPagesPanel.tsx; components/admin/AdminManagedPageRenderer.tsx,services/adminPages.ts; services/arsenalWebsiteAssembler.ts,ai-route; zen-daily-og-fetch,admin_app_pages; arsenal_pages,mixed,Admin-only authoring,ai-route for generation,ai-route/admin-key path,AdminPagesPanel,"Client pages, launch pages, agency services",yes,4,4,2,4,low,"AdminPagesPanel says AI generation uses existing ai-route/admin-key path, not a new runtime."
